created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,Deidentified_text,keywords_matched
2024-12-20T22:54:36.000Z,,,,,True,"[ORGANIZATION] to reliable, affordable high-speed internet isn’t a luxury, it's a necessity.  
  
Our Affordable Housing Connec…",affordable housing
2024-12-20T20:56:54.000Z,"Buffalo, NY",,,,True,"[PERSON]: DATE0, ORG1 leadership met with Mayor [PERSON] to discuss affordable [ORGANIZATION]; the power of modular construct…",
2024-12-20T20:51:54.000Z,"New York, USA",,,,True,"[ORGANIZATION] to reliable, affordable high-speed internet isn’t a luxury, it's a necessity.  
  
Our Affordable Housing Connec…",affordable housing
2024-12-20T20:50:25.000Z,"Buffalo, NY",,,,False,"[ORGANIZATION], [ORGANIZATION] leadership met with Mayor [PERSON] to discuss affordable [ORGANIZATION]; the power of modular construction! Inspiring ideas for building stronger, more accessible communities. [LOCATION]✨ 
#AffordableHousing #BuffaloStrong #BuildingTheFuture [URL]",
2024-12-20T20:09:21.000Z,,,,,True,"[ORGANIZATION] to reliable, affordable high-speed internet isn’t a luxury, it's a necessity.  
  
Our Affordable Housing Connec…",affordable housing
2024-12-20T19:31:04.000Z,,,,,True,"[ORGANIZATION] to reliable, affordable high-speed internet isn’t a luxury, it's a necessity.  
  
Our Affordable Housing Connec…",affordable housing
2024-12-20T17:59:29.000Z,New York State ,,,,True,"[ORGANIZATION] to reliable, affordable high-speed internet isn’t a luxury, it's a necessity.  
  
Our Affordable Housing Connec…",affordable housing
2024-12-20T17:47:49.000Z,,,,,False,"Access to reliable, affordable high-speed internet isn’t a luxury, it's a necessity.  
  
Our Affordable Housing Connectivity program will secure new $10/month broadband service for over 14,000 low-income households in [ORGANIZATION], [PERSON] and GPE2. [URL]",affordable housing
2024-12-20T14:13:07.000Z,,,,,False,"PERSON0 Come to [ORGANIZATION], [PERSON]'s backyard. The chronically homeless population are often individuals with severe mental illness that have been discarded.",homeless
2024-12-20T12:16:43.000Z,"Kennett Square, PA",,,,False,@tha_buffalo Didn’t he listen to a homeless person in the [STREET] and picked [ORGANIZATION]?,homeless
2024-12-19T20:06:09.000Z,,,,,False,"[PERSON] And yes, the food situation is one of those backwards things where an Egyptian [STREET] beggar eats better than a [ORGANIZATION] poor person because the quality of food is better there than here.",beggar
2024-12-19T16:46:11.000Z,,,,,False,@tha_buffalo Didn’t [ORGANIZATION] draft PERSON1 football cuz a homeless man told it was good idea ????? 😂,homeless
2024-12-19T16:15:42.000Z,Everywhere ,,,,False,[ORGANIZATION] got advise from a homeless person once.  Just [ORGANIZATION],homeless
2024-12-19T13:59:18.000Z,"Calabash, NC",,,,False,@tha_buffalo [PERSON] picked [ORGANIZATION] bc a homeless guy told him to.,homeless
2024-12-19T09:52:18.000Z,"Buffalo, NY",,,,False,@Ryanfor[ORGANIZATION] If you got your [STREET] you’d flood [ORGANIZATION] with [ORGANIZATION] exacerbating the housing crisis and driving up the overall cost of living for Americans.  The choice is clear in the race for Mayor. PERSON0 because [ORGANIZATION] deserves better. Go fuck yourself.,housing crisis
2024-12-19T05:02:52.000Z,"Tampa, FL",,,,False,"Deport them ALL. 
Where is the news coverage for homeless veterans and Americans in [ORGANIZATION]? [URL]",homeless
2024-12-19T00:11:28.000Z,"Cleveland, OH",,,,False,@tha_buffalo @YahooSports @RapSheet @TomPelissero What does the homeless guy think?,homeless
2024-12-18T16:41:56.000Z,,,,,False,"[ORGANIZATION] PERSON0        we  have      exec  orders          we  are  fine   ..   ask  any  homeless  person     in  [ORGANIZATION], [PERSON] , [ORGANIZATION] , [PERSON] ,  GPE4 ,  [PERSON],  [ORGANIZATION]  ,  GPE6 , GPE7 ,  [PERSON] ,  atGPE4nta ,  [PERSON]0  ,   [PERSON]1  ,  [PERSON]2 ,   [PERSON]3 , cleveGPE4nd ,  [PERSON]5 ,  [PERSON]6 ..",homeless
2024-12-18T14:00:15.000Z,"Lancaster, NY",,,,True,"RT @PepeClass1st: Honored to partner with a non profit, ORG0ORG1; ORG2, to fill backpacks for the homeless populatio…",homeless
2024-12-17T16:13:01.000Z,"Neptune, NJ",,,,False,"DATE0 - Kitchen open 10am-2pm serving lunch…[PERSON]…Special - Buffalo Shrimp Po’ Boy w/ lettuce, [ORGANIZATION]; [ORGANIZATION].  [ORGANIZATION]!🍺",
2024-12-17T14:10:13.000Z,,,,,False,"Honored to partner with a non profit, ORG0amp; [ORGANIZATION], to fill backpacks for the homeless population. Had students of ORG2 write/draw letters of hope♥️ [URL]",homeless
2024-12-17T12:03:56.000Z,"East Harlem, Manhattan, NYC",,,,True,"[PERSON]: DATE0: #HCRYearInReview
- Completed 123-unit and 69-unit affordable housing developments  
- Broke ground on key projects in [ORGANIZATION]…",affordable housing
2024-12-17T04:34:52.000Z,NYC,,,,True,"[PERSON]: DATE0: #HCRYearInReview
- Completed 123-unit and 69-unit affordable housing developments  
- Broke ground on key projects in [ORGANIZATION]…",affordable housing
2024-12-17T04:28:52.000Z,Prague / Minsk,,,,False,"@ctepeo The cover of the album shows [ORGANIZATION], better known as [ORGANIZATION], a homeless woman who lived in [ORGANIZATION], [PERSON]. The [ORGANIZATION] News reported she was killed on [TIME] of [DATE] at [ORGANIZATION], by being hit by a car.[5]",homeless
2024-12-16T23:44:59.000Z,,,,,True,"[ORGANIZATION]: The [ORGANIZATION] GPE1 police weren't allowed to speak at the [ORGANIZATION] meeting. There was no responsibility,…",
2024-12-16T18:01:07.000Z,New York,,,,False,"DATE0: #HCRYearInReview
- Completed 123-unit and 69-unit affordable housing developments  
- Broke ground on key projects in [ORGANIZATION], [PERSON], and GPE2  
- Awarded $45M for 227 supportive housing units  
- Released guidance to combat housing insurance discrimination [URL]",affordable housing
2024-12-16T06:40:09.000Z,🇺🇸 🇺🇸 🇺🇸,,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
