id,text,created_at,author_id,user_location,tweet_geo,tweet_country,place_type
1847414389273403545,@DurmBull Raleigh is terrible too. Got called a “bitch” on Fayetteville St because I didn’t give a homeless woman money😂,2024-10-18T23:08:08.000Z,281742708,"Raleigh, NC",,,
1846898998503678327,Fayetteville's Housing Crisis Task Force on Wednesday started pinning down some early ideas to present to the City Council and heard from a developer about how difficult it can be to build in the city. https://t.co/lIZToGRsSj,2024-10-17T13:00:09.000Z,30012029,Northwest Arkansas,,,
1845675508106739759,"@luxysema So many Americans are suffering ~ The Greatest Depression 
Went to a homeless shelter in Fayetteville Arkansas ~ needed help ~ while there the shower truck came ~  Salvation Army is open until 9 pm then you’re on the streets ~ I lived the 60s
This is just crazy ~ 👀 4your posts",2024-10-14T03:58:26.000Z,274742614,"Grove, OK",,,
1843422267344335023,@TexasEXinCA @Jake88300130 Arrogant fuckers. Yall are going to limp into Fayetteville with 2 SEC losses and we’re going to spank yalls pansy asses. Then A/M will. Enjoy the Independence Bowl losers. Also enjoy that pos town yall call home. Homelessness and pot is all you see there.,2024-10-07T22:44:52.000Z,1455227644031668227,"Horatio, AR &Magnolia, TX",,,
1842944382842155136,"@5NEWS If Fayetteville is going to invest in Walker Park, are they going to clean up the homeless and the mounds trash they throw around? 
Maybe keep them from sleeping there? If not, why waste the money? Why not fix the huge potholes around town? Valid questions.",2024-10-06T15:05:55.000Z,1615779950912540673,A Texan in Arkansas,,,
1842633213648199973,"@IvanRaiklin @johny_franks @RobManess @realannapaulina @matthewlohmeier @ImFiredUp2 @JessieJaneDuff I live in Fayetteville NC this was my 3rd Trump rally My first was 2016 when I was homeless my 2nd was 2020 when I was still homeless by the grace of God I'm no longer homeless.  I dropped some things off at the hurricane relief tent outside I saw you.  #BlessingOthers
#Maga2024",2024-10-05T18:29:27.000Z,1598504116036280321,"Fayetteville, NC",,,
1842453940115255564,"@realDonaldTrump I'm in Fayetteville NC  and this my 3rd Trump event -My first was 2016 when i was homeless my 2nd was 2020 when I was still homeless by grace of God I'm not longer homeless.  I dropped somethings off at hurricane relief tent outside.  #BlessingOthers
#Maga2024",2024-10-05T06:37:05.000Z,1598504116036280321,"Fayetteville, NC",,,
1842448221072667000,"@TrumpWarRoom @DiamondandSilk I'm in Fayetteville NC  and this was my 3rd Trump event, My first was 2016 when I was homeless my 2nd was 2020 when I was still homeless by the grace of God I'm not homeless anymore.  I dropped somethings off at hurricane relief tent outside.  #BlessingOthers
#Maga2024",2024-10-05T06:14:21.000Z,1598504116036280321,"Fayetteville, NC",,,
1842447948929503254,"@RSBNetwork @DiamondandSilk I'm in Fayetteville NC  and this was my 3rd Trump event, My first was 2016 when I was homeless my 2nd was 2020 when I was still homeless by the grace of God I'm not homeless anymore.  I dropped somethings off at hurricane relief tent outside.  #BlessingOthers
#Maga2024",2024-10-05T06:13:16.000Z,1598504116036280321,"Fayetteville, NC",,,
1842323296186192295,"@RSBNetwork I'm in Fayetteville NC  and this my 3rd Trump rally My first was 2016 when was homeless my 2nd was 2020 when I was still homeless by grace of God I'm not longer homeless.  I dropped somethings off at hurricane relief tent outside.  #BlessingOthers
#Maga2024",2024-10-04T21:57:57.000Z,1598504116036280321,"Fayetteville, NC",,,
1841265163107713415,"EVERY LIFE MATTERS 
DO WHAT YOU CAN
IT WILL BE ENOUGH
https://t.co/Eeo13D1hkV",2024-10-01T23:53:18.000Z,1649525626917855236,AMERICA FIRST,,,
1839500012012671144,"Salvation Army is open daily, but at 9 PM you are on the street ~ so many homeless in Fayetteville AR
$1200 a month for 400 sq ft apartment available Nov 1",2024-09-27T02:59:13.000Z,274742614,"Grove, OK",,,
1839462487210480017,Recent fire prompts addition to nuisance lawsuit over homeless camping situation in Fayetteville https://t.co/AZrRbG74it,2024-09-27T00:30:07.000Z,30012029,Northwest Arkansas,,,
