created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,keywords_matched,Deidentified_text
2024-12-15T06:13:18.000Z,#FEMAVI,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-15T03:14:57.000Z,"El Paso, Texas",,,,False,homeless,"[USER] [USER] No [STREET] that’s downtown [ORGANIZATION], where are all the homeless people. 🤷🏽‍♂️"
2024-12-15T02:27:20.000Z,,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-15T02:09:34.000Z,"Ohio, USA",,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-14T04:45:02.000Z,"El Paso, TX",,,,False,,"This impressive piece of FAC0 is the work of local artist PERSON0. He says it's made out of a million pieces of glass. 
[URL]"
2024-12-13T22:11:38.000Z,"Texas, USA",,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-13T18:00:32.000Z,Nationwide,,,,False,,"This #[DATE], we’re highlighting [ORGANIZATION] recent move to invest [ORGANIZATION] funds to support former inmates.

“It's really going to have an impactful, meaningful change in people's lives.” – [USER]

Obligate your [ORGANIZATION] funds by [ORGANIZATION]!
[URL]"
2024-12-13T05:32:53.000Z,"Texas, USA",,,,True,,[PERSON]: A new mural of Nuestra Señora de Guadalupe was unveiled at the [PERSON] (ORG2) newest [PERSON]…
2024-12-13T05:08:07.000Z,"El Paso, Texas",,,,False,,[ORGANIZATION] unveiled the new mural created by local artist PERSON0. [URL]
2024-12-13T05:07:53.000Z,"El Paso, Texas",,,,True,,[PERSON]: A new mural of Nuestra Señora de Guadalupe was unveiled at the [PERSON] (ORG2) newest [PERSON]…
2024-12-13T05:05:48.000Z,"El Paso, Texas",,,,False,affordable housing,A new mural of [ORGANIZATION] was unveiled at the [ORGANIZATION] ([ORGANIZATION]) newest affordable housing development in central [ORGANIZATION] on [ORGANIZATION]. [URL]
2024-12-12T04:07:46.000Z,"Oregon, USA",,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-11T23:08:11.000Z,"El Paso, Texas",,,,False,homeless,City officials said they are having difficulty addressing a homeless encampment in central [ORGANIZATION]. [ORGANIZATION]
2024-12-11T23:07:19.000Z,"El Paso, Texas",,,,False,homeless,City officials said they are having difficulty addressing a homeless encampment in central [ORGANIZATION]. [PERSON]
2024-12-11T08:27:52.000Z,twinsandtriplets.com,,,,False,homeless,[USER] They did a study in [ORGANIZATION]; watched one homeless person with a cardboard sign at anintersection [ORGANIZATION]. They counted # of times person received paper $. Assuming $1 each time made $250./day. 8hr that’s $31.25 per hour. Cash/tax free. $60k per year holding sign [LOCATION]. 🇺[PERSON]
2024-12-11T08:03:18.000Z,San Francisco,,,,True,homeless,"RT [USER]: [USER] That’s $190,000 per homeless person. 

You could buy them a house.

Cities where the median home price is c…"
2024-12-11T06:05:03.000Z,"El Paso, Texas",,,,False,homeless,"Homeless camp in [ORGANIZATION] causing concern for nearby residents
[URL]"
2024-12-11T05:53:05.000Z,"Los Angeles, CA",,,,False,homeless,"[USER] That’s $190,000 per homeless person. 

You could buy them a house.

Cities where the median home price is close to or under $200k:

[ORGANIZATION], [PERSON], [PERSON], [PERSON], GPE7
GPE8, [PERSON], GPE10"
2024-12-10T17:12:09.000Z,,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-10T14:31:19.000Z,Texas,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-08T21:33:13.000Z,"Idaho, USA",,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-08T21:26:12.000Z,,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-08T21:19:33.000Z,,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-08T21:15:50.000Z,,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-08T19:22:41.000Z,,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-08T17:14:35.000Z,"""God is GOOD"" #WeAreThePlan!🌍",,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-05T11:47:05.000Z,"San Antonio, TX",,,,False,affordable housing,"[ORGANIZATION] [URL]
[ORGANIZATION] is a new rental housing community on the [LOCATION] side, off FAC0 and FAC1. [URL]"
2024-12-05T04:18:05.000Z,"San Antonio, TX",,,,False,affordable housing,"[ORGANIZATION] [URL]
[ORGANIZATION] is a new rental housing community on the [LOCATION] side, off FAC0 and FAC1. [URL]"
2024-12-04T01:02:00.000Z,Rick McCann Police Chief/FF-EMT/Chaplain/Author,,,,False,homeless,"Homeless man stabs [ORGANIZATION] guard over chicken wings, says jail is worth a meal [URL]"
2024-12-03T13:02:04.000Z,"El Paso, Texas",,,,False,homeless,"[ORGANIZATION] -- GPE0 Police: A [ORGANIZATION] homeless man died after he was struck by a vehicle DATE1 evening, [ORGANIZATION], in [LOCATION].
[URL]"
2024-12-02T19:05:33.000Z,"El Paso, Texas",,,,False,homeless,"A [ORGANIZATION] homeless man died after he was struck by a vehicle DATE1 evening, [ORGANIZATION], in [ORGANIZATION], according to [PERSON]. [URL]"
2024-12-02T18:09:19.000Z,Eternity,,,,False,homeless,"[ORGANIZATION] sues [ORGANIZATION] church that provides homeless services

PERSON1  [URL]"
