id,text,created_at,author_id,user_location,tweet_geo,tweet_country,place_type
1857567540869836991,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T23:33:08.000Z,303130542,Ireland,,,
1857563304593342902,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T23:16:18.000Z,21862233,,,,
1857561804362166694,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T23:10:20.000Z,1067523307896037376,,,,
1857558590313381928,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T22:57:34.000Z,3247800298,,,,
1857550621295128701,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T22:25:54.000Z,3986701535,Ireland,,,
1857543817215537448,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T21:58:52.000Z,21029069,Dublin,,,
1857540580223385788,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T21:46:00.000Z,217135039,"Blackrock, Dublin, Ireland",,,
1857539955507003679,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T21:43:31.000Z,1381010073300914181,,,,
1857534939740385559,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T21:23:35.000Z,27951909,"Wexford, Ireland",,,
1857530616377729463,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T21:06:24.000Z,142013628,Ireland,,,
1857528737945784617,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T20:58:56.000Z,2147499236,On a beautiful little island. ,,,
1857516086540828945,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T20:08:40.000Z,4130249369,"Killarney, Co.Kerry ",,,
1857513750645059772,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-15T19:59:23.000Z,141869059,"London, England",,,
